Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-10-31,100987,8372
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-09-30,116396,8373
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-08-31,139590,8374
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-07-31,111426,8375
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-06-30,101683,8376
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-05-31,104511,8377
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-04-30,92673,8378
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-03-31,70377,8379
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-02-28,51751,8380
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,General,2019-01-31,44584,8381
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-12-31,50657,8382
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-11-30,64772,8383
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-10-31,77545,8384
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-09-30,75922,8385
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-08-31,95814,8386
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-07-31,72289,8387
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-06-30,70294,8388
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-05-31,70813,8389
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-04-30,69750,8390
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-03-31,58716,8391
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-02-28,43884,8392
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Espana,2019-01-31,36577,8393
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-12-31,9807,8394
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-11-30,10180,8395
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-10-31,23442,8396
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-09-30,40473,8397
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-08-31,43776,8398
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-07-31,39137,8399
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-06-30,31388,8400
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-05-31,33698,8401
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-04-30,22923,8402
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-03-31,11660,8403
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-02-28,7867,8404
Total Nacional,Comunidad floral de navarra,Navarra,Viajero,Extranjero,2019-01-31,8006,8405
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-12-31,29345,8406
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-11-30,30615,8407
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-10-31,36678,8408
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-09-30,39917,8409
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-08-31,49745,8410
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-07-31,42691,8411
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-06-30,37468,8412
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-05-31,36097,8413
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-04-30,34504,8414
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-03-31,30769,8415
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-02-28,22585,8416
Total Nacional,Pais vasco,Araba/alava,Viajero,General,2019-01-31,21710,8417
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-12-31,24722,8418
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-11-30,24533,8419
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-10-31,26593,8420
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-09-30,26055,8421
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-08-31,30495,8422
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-07-31,25364,8423
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-06-30,25669,8424
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-05-31,24213,8425
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-04-30,25217,8426
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-03-31,24469,8427
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-02-28,18494,8428
Total Nacional,Pais vasco,Araba/alava,Viajero,Espana,2019-01-31,16773,8429
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-12-31,4623,8430
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-11-30,6081,8431
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-10-31,10085,8432
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-09-30,13861,8433
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-08-31,19250,8434
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-07-31,17327,8435
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-06-30,11800,8436
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-05-31,11883,8437
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-04-30,9287,8438
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-03-31,6301,8439
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-02-28,4091,8440
Total Nacional,Pais vasco,Araba/alava,Viajero,Extranjero,2019-01-31,4936,8441
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-12-31,113014,8442
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-11-30,117898,8443
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-10-31,149528,8444
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-09-30,153559,8445
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-08-31,179060,8446
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-07-31,163590,8447
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-06-30,141281,8448
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-05-31,140571,8449
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-04-30,136863,8450
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-03-31,120345,8451
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-02-28,91007,8452
Total Nacional,Pais vasco,Bizkaia,Viajero,General,2019-01-31,84463,8453
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-12-31,81850,8454
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-11-30,81685,8455
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-10-31,84249,8456
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-09-30,73157,8457
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-08-31,93989,8458
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-07-31,86026,8459
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-06-30,77715,8460
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-05-31,72656,8461
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-04-30,77865,8462
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-03-31,81938,8463
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-02-28,64902,8464
Total Nacional,Pais vasco,Bizkaia,Viajero,Espana,2019-01-31,60595,8465
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-12-31,31163,8466
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-11-30,36213,8467
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-10-31,65279,8468
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-09-30,80402,8469
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-08-31,85071,8470
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-07-31,77563,8471
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-06-30,63566,8472
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-05-31,67915,8473
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-04-30,58998,8474
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-03-31,38407,8475
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-02-28,26105,8476
Total Nacional,Pais vasco,Bizkaia,Viajero,Extranjero,2019-01-31,23868,8477
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-12-31,72523,8478
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-11-30,81535,8479
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-10-31,111476,8480
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-09-30,115155,8481
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-08-31,134170,8482
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-07-31,126055,8483
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-06-30,116322,8484
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-05-31,111772,8485
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-04-30,105281,8486
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-03-31,89636,8487
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-02-28,69855,8488
Total Nacional,Pais vasco,Gipuzkoa,Viajero,General,2019-01-31,63310,8489
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-12-31,45884,8490
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-11-30,52278,8491
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-10-31,56188,8492
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-09-30,52153,8493
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-08-31,64330,8494
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-07-31,58592,8495
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-06-30,51436,8496
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-05-31,53035,8497
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-04-30,59921,8498
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-03-31,59192,8499
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-02-28,46128,8500
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Espana,2019-01-31,40396,8501
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-12-31,26639,8502
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-11-30,29257,8503
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-10-31,55288,8504
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-09-30,63002,8505
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-08-31,69840,8506
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-07-31,67463,8507
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-06-30,64885,8508
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-05-31,58737,8509
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-04-30,45360,8510
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-03-31,30444,8511
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-02-28,23727,8512
Total Nacional,Pais vasco,Gipuzkoa,Viajero,Extranjero,2019-01-31,22913,8513
Total Nacional,La rioja,La rioja,Viajero,General,2019-12-31,33873,8514
Total Nacional,La rioja,La rioja,Viajero,General,2019-11-30,43311,8515
Total Nacional,La rioja,La rioja,Viajero,General,2019-10-31,56158,8516
Total Nacional,La rioja,La rioja,Viajero,General,2019-09-30,61014,8517
Total Nacional,La rioja,La rioja,Viajero,General,2019-08-31,71292,8518
Total Nacional,La rioja,La rioja,Viajero,General,2019-07-31,51506,8519
Total Nacional,La rioja,La rioja,Viajero,General,2019-06-30,51599,8520
Total Nacional,La rioja,La rioja,Viajero,General,2019-05-31,56888,8521
Total Nacional,La rioja,La rioja,Viajero,General,2019-04-30,49629,8522
Total Nacional,La rioja,La rioja,Viajero,General,2019-03-31,40741,8523
Total Nacional,La rioja,La rioja,Viajero,General,2019-02-28,30964,8524
Total Nacional,La rioja,La rioja,Viajero,General,2019-01-31,25821,8525
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-12-31,30578,8526
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-11-30,37431,8527
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-10-31,42249,8528
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-09-30,39831,8529
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-08-31,58566,8530
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-07-31,39729,8531
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-06-30,37572,8532
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-05-31,37498,8533
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-04-30,38068,8534
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-03-31,35933,8535
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-02-28,27687,8536
Total Nacional,La rioja,La rioja,Viajero,Espana,2019-01-31,22917,8537
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-12-31,3295,8538
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-11-30,5879,8539
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-10-31,13909,8540
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-09-30,21183,8541
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-08-31,12727,8542
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-07-31,11777,8543
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-06-30,14027,8544
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-05-31,19390,8545
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-04-30,11560,8546
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-03-31,4809,8547
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-02-28,3277,8548
Total Nacional,La rioja,La rioja,Viajero,Extranjero,2019-01-31,2904,8549
Total Nacional,Andalucia,Almeria,Viajero,General,2018-12-31,48923,8550
Total Nacional,Andalucia,Almeria,Viajero,General,2018-11-30,60133,8551
Total Nacional,Andalucia,Almeria,Viajero,General,2018-10-31,112690,8552
Total Nacional,Andalucia,Almeria,Viajero,General,2018-09-30,187207,8553
Total Nacional,Andalucia,Almeria,Viajero,General,2018-08-31,263093,8554
Total Nacional,Andalucia,Almeria,Viajero,General,2018-07-31,221138,8555
Total Nacional,Andalucia,Almeria,Viajero,General,2018-06-30,183840,8556
Total Nacional,Andalucia,Almeria,Viajero,General,2018-05-31,125191,8557
Total Nacional,Andalucia,Almeria,Viajero,General,2018-04-30,104833,8558
Total Nacional,Andalucia,Almeria,Viajero,General,2018-03-31,88773,8559
Total Nacional,Andalucia,Almeria,Viajero,General,2018-02-28,59124,8560
Total Nacional,Andalucia,Almeria,Viajero,General,2018-01-31,37941,8561
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-12-31,40198,8562
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-11-30,47744,8563
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-10-31,78403,8564
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-09-30,139448,8565
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-08-31,205644,8566
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-07-31,172091,8567
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-06-30,139785,8568
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-05-31,85566,8569
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-04-30,81800,8570
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-03-31,71626,8571
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-02-28,46952,8572
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-01-31,27864,8573
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-12-31,8725,8574
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-11-30,12389,8575
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-10-31,34288,8576
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-09-30,47759,8577
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-08-31,57449,8578
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-07-31,49047,8579
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-06-30,44055,8580
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-05-31,39624,8581
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-04-30,23033,8582
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-03-31,17147,8583
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-02-28,12173,8584
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-01-31,10077,8585
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-12-31,119691,8586
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-11-30,127887,8587
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-10-31,259132,8588
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-09-30,303930,8589
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-08-31,372945,8590
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-07-31,319586,8591
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-06-30,289911,8592
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-05-31,263318,8593
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-04-30,209417,8594
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-03-31,161014,8595
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-02-28,130248,8596
Total Nacional,Andalucia,Cadiz,Viajero,General,2018-01-31,91028,8597
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-12-31,84058,8598
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-11-30,80772,8599
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-10-31,140127,8600
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-09-30,181152,8601
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-08-31,267844,8602
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-07-31,222518,8603
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-06-30,183336,8604
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-05-31,147191,8605
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-04-30,119365,8606
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-03-31,99336,8607
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-02-28,88953,8608
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2018-01-31,57390,8609
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-12-31,35633,8610
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-11-30,47116,8611
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-10-31,119005,8612
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-09-30,122778,8613
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-08-31,105102,8614
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-07-31,97068,8615
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-06-30,106575,8616
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-05-31,116127,8617
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-04-30,90052,8618
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-03-31,61678,8619
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-02-28,41295,8620
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2018-01-31,33638,8621
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-12-31,86818,8622
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-11-30,92159,8623
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-10-31,117589,8624
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-09-30,108478,8625
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-08-31,99451,8626
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-07-31,91845,8627
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-06-30,100023,8628
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-05-31,122842,8629
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-04-30,117719,8630
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-03-31,97083,8631
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-02-28,80481,8632
Total Nacional,Andalucia,Cordoba,Viajero,General,2018-01-31,66231,8633
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-12-31,59894,8634
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-11-30,62345,8635
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-10-31,63227,8636
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-09-30,56310,8637
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-08-31,58090,8638
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-07-31,52413,8639
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-06-30,57873,8640
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-05-31,66652,8641
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-04-30,63770,8642
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-03-31,62738,8643
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-02-28,52576,8644
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2018-01-31,46368,8645
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-12-31,26924,8646
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-11-30,29814,8647
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-10-31,54362,8648
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-09-30,52168,8649
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-08-31,41361,8650
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-07-31,39433,8651
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-06-30,42150,8652
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-05-31,56190,8653
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-04-30,53949,8654
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-03-31,34344,8655
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-02-28,27905,8656
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2018-01-31,19863,8657
Total Nacional,Andalucia,Granada,Viajero,General,2018-12-31,237461,8658
Total Nacional,Andalucia,Granada,Viajero,General,2018-11-30,204457,8659
Total Nacional,Andalucia,Granada,Viajero,General,2018-10-31,275423,8660
Total Nacional,Andalucia,Granada,Viajero,General,2018-09-30,276419,8661
Total Nacional,Andalucia,Granada,Viajero,General,2018-08-31,293090,8662
Total Nacional,Andalucia,Granada,Viajero,General,2018-07-31,245934,8663
Total Nacional,Andalucia,Granada,Viajero,General,2018-06-30,255914,8664
Total Nacional,Andalucia,Granada,Viajero,General,2018-05-31,275892,8665
Total Nacional,Andalucia,Granada,Viajero,General,2018-04-30,275378,8666
Total Nacional,Andalucia,Granada,Viajero,General,2018-03-31,265662,8667
Total Nacional,Andalucia,Granada,Viajero,General,2018-02-28,233171,8668
Total Nacional,Andalucia,Granada,Viajero,General,2018-01-31,203777,8669
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-12-31,154416,8670
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-11-30,119524,8671
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-10-31,124322,8672
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-09-30,132646,8673
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-08-31,164413,8674
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-07-31,128764,8675
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-06-30,123204,8676
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-05-31,117460,8677
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-04-30,129146,8678
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-03-31,155220,8679
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-02-28,146141,8680
Total Nacional,Andalucia,Granada,Viajero,Espana,2018-01-31,130894,8681
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-12-31,83045,8682
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-11-30,84934,8683
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-10-31,151102,8684
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-09-30,143773,8685
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-08-31,128677,8686
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-07-31,117170,8687
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-06-30,132711,8688
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-05-31,158432,8689
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-04-30,146232,8690
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-03-31,110442,8691
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-02-28,87031,8692
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2018-01-31,72883,8693
Total Nacional,Andalucia,Huelva,Viajero,General,2018-12-31,24224,8694
Total Nacional,Andalucia,Huelva,Viajero,General,2018-11-30,49812,8695
Total Nacional,Andalucia,Huelva,Viajero,General,2018-10-31,76454,8696
Total Nacional,Andalucia,Huelva,Viajero,General,2018-09-30,128912,8697
Total Nacional,Andalucia,Huelva,Viajero,General,2018-08-31,155398,8698
Total Nacional,Andalucia,Huelva,Viajero,General,2018-07-31,149189,8699
Total Nacional,Andalucia,Huelva,Viajero,General,2018-06-30,113676,8700
Total Nacional,Andalucia,Huelva,Viajero,General,2018-05-31,90591,8701
Total Nacional,Andalucia,Huelva,Viajero,General,2018-04-30,72848,8702
Total Nacional,Andalucia,Huelva,Viajero,General,2018-03-31,57077,8703
Total Nacional,Andalucia,Huelva,Viajero,General,2018-02-28,42454,8704
