Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-09-30,100072,117
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-08-31,137215,118
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-07-31,130352,119
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-06-30,109033,120
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-05-31,87968,121
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-04-30,77050,122
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-03-31,43731,123
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-02-28,29462,124
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-01-31,25121,125
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-09-30,44397,126
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-08-31,39736,127
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-07-31,34395,128
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-06-30,38943,129
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-05-31,31532,130
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-04-30,24784,131
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-03-31,10584,132
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-02-28,6194,133
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-01-31,7651,134
Total Nacional,Andalucia,Jaen,Viajero,General,2023-09-30,50562,135
Total Nacional,Andalucia,Jaen,Viajero,General,2023-08-31,49968,136
Total Nacional,Andalucia,Jaen,Viajero,General,2023-07-31,43752,137
Total Nacional,Andalucia,Jaen,Viajero,General,2023-06-30,44923,138
Total Nacional,Andalucia,Jaen,Viajero,General,2023-05-31,48647,139
Total Nacional,Andalucia,Jaen,Viajero,General,2023-04-30,57835,140
Total Nacional,Andalucia,Jaen,Viajero,General,2023-03-31,45581,141
Total Nacional,Andalucia,Jaen,Viajero,General,2023-02-28,35966,142
Total Nacional,Andalucia,Jaen,Viajero,General,2023-01-31,28158,143
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-09-30,42533,144
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-08-31,43619,145
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-07-31,37999,146
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-06-30,39713,147
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-05-31,41242,148
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-04-30,51178,149
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-03-31,40513,150
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-02-28,32099,151
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-01-31,24959,152
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-09-30,8029,153
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-08-31,6348,154
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-07-31,5753,155
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-06-30,5209,156
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-05-31,7405,157
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-04-30,6657,158
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-03-31,5068,159
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-02-28,3867,160
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-01-31,3199,161
Total Nacional,Andalucia,Malaga,Viajero,General,2023-09-30,639846,162
Total Nacional,Andalucia,Malaga,Viajero,General,2023-08-31,719415,163
Total Nacional,Andalucia,Malaga,Viajero,General,2023-07-31,693528,164
Total Nacional,Andalucia,Malaga,Viajero,General,2023-06-30,587898,165
Total Nacional,Andalucia,Malaga,Viajero,General,2023-05-31,613658,166
Total Nacional,Andalucia,Malaga,Viajero,General,2023-04-30,590876,167
Total Nacional,Andalucia,Malaga,Viajero,General,2023-03-31,459338,168
Total Nacional,Andalucia,Malaga,Viajero,General,2023-02-28,317641,169
Total Nacional,Andalucia,Malaga,Viajero,General,2023-01-31,265918,170
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-09-30,205989,171
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-08-31,306957,172
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-07-31,307459,173
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-06-30,218532,174
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-05-31,180022,175
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-04-30,211032,176
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-03-31,200271,177
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-02-28,153124,178
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-01-31,115875,179
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-09-30,433856,180
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-08-31,412458,181
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-07-31,386068,182
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-06-30,369367,183
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-05-31,433636,184
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-04-30,379844,185
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-03-31,259067,186
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-02-28,164517,187
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-01-31,150043,188
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-09-30,339352,189
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-08-31,323239,190
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-07-31,297225,191
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-06-30,325198,192
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-05-31,354115,193
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-04-30,338982,194
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-03-31,320153,195
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-02-28,271807,196
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-01-31,248607,197
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-09-30,153219,198
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-08-31,138355,199
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-07-31,144566,200
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-06-30,162713,201
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-05-31,168808,202
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-04-30,156485,203
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-03-31,170786,204
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-02-28,154954,205
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-01-31,138600,206
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-09-30,186133,207
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-08-31,184884,208
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-07-31,152659,209
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-06-30,162485,210
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-05-31,185308,211
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-04-30,182498,212
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-03-31,149367,213
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-02-28,116853,214
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-01-31,110007,215
Total Nacional,Aragon,Huesca,Viajero,General,2023-09-30,81849,216
Total Nacional,Aragon,Huesca,Viajero,General,2023-08-31,129651,217
Total Nacional,Aragon,Huesca,Viajero,General,2023-07-31,106898,218
Total Nacional,Aragon,Huesca,Viajero,General,2023-06-30,74137,219
Total Nacional,Aragon,Huesca,Viajero,General,2023-05-31,52159,220
Total Nacional,Aragon,Huesca,Viajero,General,2023-04-30,66846,221
Total Nacional,Aragon,Huesca,Viajero,General,2023-03-31,67415,222
Total Nacional,Aragon,Huesca,Viajero,General,2023-02-28,75855,223
Total Nacional,Aragon,Huesca,Viajero,General,2023-01-31,64439,224
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-09-30,62893,225
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-08-31,106424,226
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-07-31,84105,227
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-06-30,55588,228
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-05-31,36604,229
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-04-30,56184,230
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-03-31,61782,231
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-02-28,68026,232
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-01-31,59672,233
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-09-30,18956,234
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-08-31,23227,235
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-07-31,22793,236
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-06-30,18549,237
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-05-31,15555,238
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-04-30,10662,239
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-03-31,5633,240
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-02-28,7829,241
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-01-31,4767,242
Total Nacional,Aragon,Teruel,Viajero,General,2023-09-30,40609,243
Total Nacional,Aragon,Teruel,Viajero,General,2023-08-31,53688,244
Total Nacional,Aragon,Teruel,Viajero,General,2023-07-31,39045,245
Total Nacional,Aragon,Teruel,Viajero,General,2023-06-30,35438,246
Total Nacional,Aragon,Teruel,Viajero,General,2023-05-31,32536,247
Total Nacional,Aragon,Teruel,Viajero,General,2023-04-30,43330,248
Total Nacional,Aragon,Teruel,Viajero,General,2023-03-31,30481,249
Total Nacional,Aragon,Teruel,Viajero,General,2023-02-28,28493,250
Total Nacional,Aragon,Teruel,Viajero,General,2023-01-31,20833,251
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-09-30,34274,252
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-08-31,47668,253
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-07-31,34168,254
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-06-30,30584,255
