Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Aragon,-,Viajero,Espana,2023-04-01,204494
Total Nacional,Aragon,-,Viajero,Espana,2023-03-01,182496
Total Nacional,Aragon,-,Viajero,Espana,2023-02-01,165397
Total Nacional,Aragon,-,Viajero,Espana,2023-01-01,141767
Total Nacional,Aragon,-,Viajero,Extranjero,2023-09-01,66783
Total Nacional,Aragon,-,Viajero,Extranjero,2023-08-01,82109
Total Nacional,Aragon,-,Viajero,Extranjero,2023-07-01,71989
Total Nacional,Aragon,-,Viajero,Extranjero,2023-06-01,56149
Total Nacional,Aragon,-,Viajero,Extranjero,2023-05-01,60541
Total Nacional,Aragon,-,Viajero,Extranjero,2023-04-01,46771
Total Nacional,Aragon,-,Viajero,Extranjero,2023-03-01,34506
Total Nacional,Aragon,-,Viajero,Extranjero,2023-02-01,30346
Total Nacional,Aragon,-,Viajero,Extranjero,2023-01-01,25437
Total Nacional,Aragon,-,Pernoctaciones,General,2023-09-01,508254
Total Nacional,Aragon,-,Pernoctaciones,General,2023-08-01,702806
Total Nacional,Aragon,-,Pernoctaciones,General,2023-07-01,580680
Total Nacional,Aragon,-,Pernoctaciones,General,2023-06-01,459903
Total Nacional,Aragon,-,Pernoctaciones,General,2023-05-01,408001
Total Nacional,Aragon,-,Pernoctaciones,General,2023-04-01,493257
Total Nacional,Aragon,-,Pernoctaciones,General,2023-03-01,445654
Total Nacional,Aragon,-,Pernoctaciones,General,2023-02-01,427656
Total Nacional,Aragon,-,Pernoctaciones,General,2023-01-01,347463
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-09-01,391685
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-08-01,558158
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-07-01,446908
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-06-01,351435
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-05-01,292878
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-04-01,405351
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-03-01,370475
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-02-01,358918
Total Nacional,Aragon,-,Pernoctaciones,Espana,2023-01-01,294189
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-09-01,116570
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-08-01,144648
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-07-01,133772
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-06-01,108468
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-05-01,115123
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-04-01,87906
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-03-01,75179
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-02-01,68738
Total Nacional,Aragon,-,Pernoctaciones,Extranjero,2023-01-01,53275
Total Nacional,Principado de asturias,-,Viajero,General,2023-09-01,235417
Total Nacional,Principado de asturias,-,Viajero,General,2023-08-01,272339
Total Nacional,Principado de asturias,-,Viajero,General,2023-07-01,257441
Total Nacional,Principado de asturias,-,Viajero,General,2023-06-01,203376
