,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,año,mes,fecha_str,fecha
112,CADIZ,15.14,3.69,8.37,11.37,18.9,2018,abril,2018-abril,2018-04-01
113,CANTABRIA,12.57,3.02,5.2,8.69,16.45,2018,abril,2018-abril,2018-04-01
114,CASTELLON,12.94,1.46,8.52,7.7,18.18,2018,abril,2018-abril,2018-04-01
115,CIUDAD REAL,12.8,1.82,7.05,6.85,18.75,2018,abril,2018-abril,2018-04-01
116,CORDOBA,13.45,2.21,9.19,7.79,19.12,2018,abril,2018-abril,2018-04-01
117,CUENCA,11.8,2.86,6.3,6.13,17.48,2018,abril,2018-abril,2018-04-01
118,GIPUZKOA,14.09,6.04,4.48,10.04,18.13,2018,abril,2018-abril,2018-04-01
119,GIRONA,11.77,4.52,6.64,5.44,18.06,2018,abril,2018-abril,2018-04-01
120,GRANADA,13.81,1.41,7.34,7.53,20.11,2018,abril,2018-abril,2018-04-01
121,GUADALAJARA,10.5,3.43,6.4,4.15,16.85,2018,abril,2018-abril,2018-04-01
122,HUELVA,14.93,3.49,8.37,10.24,19.63,2018,abril,2018-abril,2018-04-01
123,HUESCA,10.8,5.62,5.9,5.16,16.46,2018,abril,2018-abril,2018-04-01
124,ILLES BALEARS,15.09,1.88,8.22,10.72,19.46,2018,abril,2018-abril,2018-04-01
125,JAEN,14.94,2.41,7.14,9.35,20.51,2018,abril,2018-abril,2018-04-01
126,LA RIOJA,12.78,2.75,6.98,6.89,18.66,2018,abril,2018-abril,2018-04-01
127,LAS PALMAS,19.17,0.13,8.83,15.99,22.36,2018,abril,2018-abril,2018-04-01
128,LEON,10.1,1.53,6.95,4.35,15.87,2018,abril,2018-abril,2018-04-01
129,LLEIDA,12.41,3.0,7.13,6.17,18.64,2018,abril,2018-abril,2018-04-01
130,LUGO,11.26,4.63,5.59,5.61,16.9,2018,abril,2018-abril,2018-04-01
131,MADRID,10.69,2.78,6.74,5.58,15.81,2018,abril,2018-abril,2018-04-01
132,MALAGA,15.97,1.47,7.71,11.74,20.2,2018,abril,2018-abril,2018-04-01
133,MURCIA,16.13,0.52,8.6,10.56,21.7,2018,abril,2018-abril,2018-04-01
134,NAVARRA,12.87,5.94,5.83,7.5,18.26,2018,abril,2018-abril,2018-04-01
135,OURENSE,11.74,3.85,5.4,5.61,17.86,2018,abril,2018-abril,2018-04-01
136,PALENCIA,9.27,2.91,5.91,3.5,15.06,2018,abril,2018-abril,2018-04-01
137,PONTEVEDRA,12.75,7.18,5.63,8.32,17.17,2018,abril,2018-abril,2018-04-01
138,SALAMANCA,9.72,2.92,6.49,4.26,15.18,2018,abril,2018-abril,2018-04-01
139,SEGOVIA,7.83,4.02,6.17,3.71,11.95,2018,abril,2018-abril,2018-04-01
140,SEVILLA,14.61,2.84,8.65,8.97,20.27,2018,abril,2018-abril,2018-04-01
141,SORIA,10.12,2.9,6.97,4.31,15.93,2018,abril,2018-abril,2018-04-01
142,STA. CRUZ DE TENERIFE,17.47,0.59,8.14,14.26,20.69,2018,abril,2018-abril,2018-04-01
143,TARRAGONA,15.72,1.38,7.46,10.76,20.68,2018,abril,2018-abril,2018-04-01
144,TERUEL,12.4,2.61,7.09,5.73,19.08,2018,abril,2018-abril,2018-04-01
145,TOLEDO,12.33,2.37,8.16,6.84,17.82,2018,abril,2018-abril,2018-04-01
146,VALENCIA,15.67,0.67,7.43,10.44,20.92,2018,abril,2018-abril,2018-04-01
147,VALLADOLID,10.86,2.17,6.81,5.33,16.39,2018,abril,2018-abril,2018-04-01
148,ZAMORA,11.23,1.7,6.91,5.25,17.21,2018,abril,2018-abril,2018-04-01
149,ZARAGOZA,13.43,3.61,7.33,7.52,19.34,2018,abril,2018-abril,2018-04-01
150,A CORUÑA,14.51,0.95,7.14,10.64,18.38,2018,mayo,2018-mayo,2018-05-01
151,ALBACETE,16.0,1.91,8.93,9.31,22.69,2018,mayo,2018-mayo,2018-05-01
152,ALICANTE,17.82,0.44,11.06,12.18,23.48,2018,mayo,2018-mayo,2018-05-01
153,ALMERIA,18.32,0.15,10.78,13.61,23.02,2018,mayo,2018-mayo,2018-05-01
154,ARABA/ALAVA,12.56,1.91,5.25,6.66,18.46,2018,mayo,2018-mayo,2018-05-01
155,ASTURIAS,12.82,3.34,6.38,9.3,16.33,2018,mayo,2018-mayo,2018-05-01
156,AVILA,14.19,1.14,7.85,8.32,20.05,2018,mayo,2018-mayo,2018-05-01
157,BADAJOZ,17.37,1.28,8.94,10.75,23.99,2018,mayo,2018-mayo,2018-05-01
158,BARCELONA,17.52,1.74,7.41,12.99,22.06,2018,mayo,2018-mayo,2018-05-01
159,BIZKAIA,14.42,2.25,4.55,10.91,17.92,2018,mayo,2018-mayo,2018-05-01
160,BURGOS,12.28,1.8,6.95,5.79,18.76,2018,mayo,2018-mayo,2018-05-01
161,CACERES,17.26,1.04,9.38,10.86,23.66,2018,mayo,2018-mayo,2018-05-01
162,CADIZ,17.47,0.33,9.74,13.08,21.86,2018,mayo,2018-mayo,2018-05-01
163,CANTABRIA,13.62,2.7,6.62,9.95,17.29,2018,mayo,2018-mayo,2018-05-01
164,CASTELLON,15.31,1.92,8.1,10.13,20.49,2018,mayo,2018-mayo,2018-05-01
165,CIUDAD REAL,16.41,1.97,7.68,9.72,23.1,2018,mayo,2018-mayo,2018-05-01
166,CORDOBA,16.61,1.26,9.25,10.16,23.05,2018,mayo,2018-mayo,2018-05-01
167,CUENCA,15.61,1.7,7.67,8.88,22.34,2018,mayo,2018-mayo,2018-05-01
168,GIPUZKOA,14.5,3.34,4.72,10.79,18.22,2018,mayo,2018-mayo,2018-05-01
169,GIRONA,14.12,3.89,5.56,8.19,20.06,2018,mayo,2018-mayo,2018-05-01
170,GRANADA,16.46,1.25,9.18,9.36,23.56,2018,mayo,2018-mayo,2018-05-01
171,GUADALAJARA,13.99,2.46,7.31,7.31,20.66,2018,mayo,2018-mayo,2018-05-01
172,HUELVA,17.31,1.44,10.36,12.07,22.55,2018,mayo,2018-mayo,2018-05-01
173,HUESCA,13.57,3.13,7.21,7.2,19.94,2018,mayo,2018-mayo,2018-05-01
174,ILLES BALEARS,16.85,1.5,8.43,12.62,21.06,2018,mayo,2018-mayo,2018-05-01
175,JAEN,17.02,1.51,7.68,10.78,23.24,2018,mayo,2018-mayo,2018-05-01
176,LA RIOJA,15.54,2.01,7.07,9.65,21.45,2018,mayo,2018-mayo,2018-05-01
177,LAS PALMAS,19.84,0.05,7.07,16.79,22.9,2018,mayo,2018-mayo,2018-05-01
178,LEON,12.37,2.74,8.01,5.92,18.8,2018,mayo,2018-mayo,2018-05-01
179,LLEIDA,15.2,4.11,8.14,8.92,21.49,2018,mayo,2018-mayo,2018-05-01
180,LUGO,13.21,1.08,6.75,7.78,18.63,2018,mayo,2018-mayo,2018-05-01
181,MADRID,14.41,2.54,8.28,8.57,20.26,2018,mayo,2018-mayo,2018-05-01
182,MALAGA,18.78,0.41,8.96,14.0,23.56,2018,mayo,2018-mayo,2018-05-01
183,MURCIA,18.89,0.62,10.54,13.15,24.64,2018,mayo,2018-mayo,2018-05-01
184,NAVARRA,14.51,3.25,5.47,9.03,20.0,2018,mayo,2018-mayo,2018-05-01
185,OURENSE,14.82,1.16,7.49,7.79,21.85,2018,mayo,2018-mayo,2018-05-01
186,PALENCIA,12.92,2.79,7.76,6.38,19.46,2018,mayo,2018-mayo,2018-05-01
187,PONTEVEDRA,15.35,1.52,8.78,10.4,20.32,2018,mayo,2018-mayo,2018-05-01
188,SALAMANCA,12.73,2.17,8.24,6.65,18.81,2018,mayo,2018-mayo,2018-05-01
189,SEGOVIA,10.89,2.37,6.56,6.11,15.67,2018,mayo,2018-mayo,2018-05-01
190,SEVILLA,17.34,1.0,9.35,10.68,23.99,2018,mayo,2018-mayo,2018-05-01
191,SORIA,12.91,3.79,7.68,6.55,19.25,2018,mayo,2018-mayo,2018-05-01
192,STA. CRUZ DE TENERIFE,18.2,0.12,7.17,15.03,21.37,2018,mayo,2018-mayo,2018-05-01
193,TARRAGONA,18.78,0.61,7.9,14.05,23.5,2018,mayo,2018-mayo,2018-05-01
194,TERUEL,15.51,2.24,7.9,8.89,22.13,2018,mayo,2018-mayo,2018-05-01
195,TOLEDO,16.61,1.12,9.95,10.32,22.89,2018,mayo,2018-mayo,2018-05-01
196,VALENCIA,18.66,0.87,8.76,12.94,24.37,2018,mayo,2018-mayo,2018-05-01
197,VALLADOLID,13.86,2.88,8.83,7.71,20.01,2018,mayo,2018-mayo,2018-05-01
198,ZAMORA,14.33,1.39,8.59,7.31,21.35,2018,mayo,2018-mayo,2018-05-01
199,ZARAGOZA,16.44,2.56,8.93,10.14,22.73,2018,mayo,2018-mayo,2018-05-01
200,A CORUÑA,17.01,3.06,6.02,13.6,20.42,2018,junio,2018-junio,2018-06-01
201,ALBACETE,20.76,1.62,10.82,13.98,27.54,2018,junio,2018-junio,2018-06-01
202,ALICANTE,22.21,1.24,11.29,16.55,27.87,2018,junio,2018-junio,2018-06-01
203,ALMERIA,22.15,0.12,11.73,17.36,26.94,2018,junio,2018-junio,2018-06-01
204,ARABA/ALAVA,17.38,1.97,6.8,11.32,23.44,2018,junio,2018-junio,2018-06-01
205,ASTURIAS,16.39,4.3,4.8,13.18,19.61,2018,junio,2018-junio,2018-06-01
206,AVILA,17.64,1.31,9.27,11.68,23.63,2018,junio,2018-junio,2018-06-01
207,BADAJOZ,22.68,0.33,9.56,15.42,29.93,2018,junio,2018-junio,2018-06-01
208,BARCELONA,21.96,1.28,9.68,17.49,26.43,2018,junio,2018-junio,2018-06-01
209,BIZKAIA,18.37,2.06,4.46,14.85,21.9,2018,junio,2018-junio,2018-06-01
210,BURGOS,16.99,2.12,8.1,10.41,23.59,2018,junio,2018-junio,2018-06-01
211,CACERES,22.26,0.54,9.75,15.53,29.0,2018,junio,2018-junio,2018-06-01
212,CADIZ,20.48,0.09,11.04,16.19,24.77,2018,junio,2018-junio,2018-06-01
213,CANTABRIA,17.38,3.02,6.2,13.74,21.01,2018,junio,2018-junio,2018-06-01
214,CASTELLON,19.97,1.38,10.08,14.69,25.26,2018,junio,2018-junio,2018-06-01
215,CIUDAD REAL,21.9,0.27,8.7,14.86,28.93,2018,junio,2018-junio,2018-06-01
216,CORDOBA,21.88,0.1,10.21,14.9,28.86,2018,junio,2018-junio,2018-06-01
217,CUENCA,20.3,1.31,7.71,13.21,27.4,2018,junio,2018-junio,2018-06-01
218,GIPUZKOA,18.32,3.89,5.48,14.64,21.99,2018,junio,2018-junio,2018-06-01
219,GIRONA,18.87,2.1,7.18,12.47,25.25,2018,junio,2018-junio,2018-06-01
220,GRANADA,22.48,0.07,11.58,14.88,30.08,2018,junio,2018-junio,2018-06-01
221,GUADALAJARA,18.43,2.64,8.21,11.18,25.68,2018,junio,2018-junio,2018-06-01
222,HUELVA,20.78,0.83,11.11,15.72,25.84,2018,junio,2018-junio,2018-06-01
223,HUESCA,18.1,3.69,8.25,11.65,24.56,2018,junio,2018-junio,2018-06-01
224,ILLES BALEARS,21.81,0.55,11.14,17.01,26.62,2018,junio,2018-junio,2018-06-01
225,JAEN,22.86,0.77,9.73,16.26,29.46,2018,junio,2018-junio,2018-06-01
226,LA RIOJA,19.96,1.82,8.6,13.67,26.26,2018,junio,2018-junio,2018-06-01
227,LAS PALMAS,21.55,0.03,7.14,18.47,24.63,2018,junio,2018-junio,2018-06-01
228,LEON,17.09,3.59,8.47,11.1,23.08,2018,junio,2018-junio,2018-06-01
229,LLEIDA,20.19,1.1,9.94,13.5,26.88,2018,junio,2018-junio,2018-06-01
230,LUGO,16.88,2.82,4.99,12.11,21.64,2018,junio,2018-junio,2018-06-01
231,MADRID,19.44,1.33,9.64,13.31,25.56,2018,junio,2018-junio,2018-06-01
232,MALAGA,22.75,0.06,9.74,17.88,27.63,2018,junio,2018-junio,2018-06-01
233,MURCIA,23.09,0.84,11.23,17.34,28.85,2018,junio,2018-junio,2018-06-01
234,NAVARRA,19.19,2.7,7.38,13.51,24.86,2018,junio,2018-junio,2018-06-01
235,OURENSE,18.14,3.54,6.36,12.2,24.09,2018,junio,2018-junio,2018-06-01
236,PALENCIA,16.76,2.92,7.65,10.18,23.41,2018,junio,2018-junio,2018-06-01
