Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-03-01 00:00:00,112479,4959,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-02-01 00:00:00,192474,4960,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-01-01 00:00:00,107139,4961,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-12-01 00:00:00,20158,4962,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-11-01 00:00:00,24161,4963,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-10-01 00:00:00,68053,4964,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-09-01 00:00:00,203000,4965,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-08-01 00:00:00,411380,4966,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-07-01 00:00:00,290200,4967,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-06-01 00:00:00,49630,4968,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-05-01 00:00:00,2408,4969,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-04-01 00:00:00,0,4970,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-03-01 00:00:00,80800,4971,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-02-01 00:00:00,132758,4972,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2020-01-01 00:00:00,67652,4973,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2020-12-01 00:00:00,4931,4974,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2020-11-01 00:00:00,5962,4975,190013,36.83892362,-2.46413188,3
