Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-10-01 00:00:00,67943,3164,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-09-01 00:00:00,133713,3165,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-08-01 00:00:00,209996,3166,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-07-01 00:00:00,172883,3167,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-06-01 00:00:00,107549,3168,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-05-01 00:00:00,37240,3169,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-04-01 00:00:00,16155,3170,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-03-01 00:00:00,14623,3171,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-02-01 00:00:00,10712,3172,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-01-01 00:00:00,10078,3173,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-12-01 00:00:00,9503,3174,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-11-01 00:00:00,10937,3175,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-10-01 00:00:00,21944,3176,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-09-01 00:00:00,26258,3177,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-08-01 00:00:00,20009,3178,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-07-01 00:00:00,16631,3179,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-06-01 00:00:00,10941,3180,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-05-01 00:00:00,5832,3181,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-04-01 00:00:00,3440,3182,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-03-01 00:00:00,2777,3183,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-02-01 00:00:00,1767,3184,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2021-01-01 00:00:00,2627,3185,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-12-01 00:00:00,13488,4950,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-11-01 00:00:00,15850,4951,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-10-01 00:00:00,38261,4952,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-09-01 00:00:00,76237,4953,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-08-01 00:00:00,131407,4954,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-07-01 00:00:00,101478,4955,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-06-01 00:00:00,28156,4956,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-05-01 00:00:00,1274,4957,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-04-01 00:00:00,0,4958,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-03-01 00:00:00,32268,4959,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-02-01 00:00:00,71362,4960,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2020-01-01 00:00:00,42401,4961,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-12-01 00:00:00,11269,4962,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-11-01 00:00:00,13172,4963,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-10-01 00:00:00,32091,4964,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-09-01 00:00:00,67997,4965,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-08-01 00:00:00,120895,4966,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-07-01 00:00:00,92571,4967,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-06-01 00:00:00,25184,4968,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-05-01 00:00:00,1197,4969,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-04-01 00:00:00,0,4970,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-03-01 00:00:00,24332,4971,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-02-01 00:00:00,57051,4972,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2020-01-01 00:00:00,30896,4973,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-12-01 00:00:00,2219,4974,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-11-01 00:00:00,2678,4975,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-10-01 00:00:00,6170,4976,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-09-01 00:00:00,8239,4977,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-08-01 00:00:00,10512,4978,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-07-01 00:00:00,8907,4979,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-06-01 00:00:00,2973,4980,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-05-01 00:00:00,77,4981,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-04-01 00:00:00,0,4982,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-03-01 00:00:00,7936,4983,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-02-01 00:00:00,14311,4984,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2020-01-01 00:00:00,11505,4985,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-12-01 00:00:00,52376,6750,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-11-01 00:00:00,60541,6751,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-10-01 00:00:00,97045,6752,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-09-01 00:00:00,175490,6753,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-08-01 00:00:00,263775,6754,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-07-01 00:00:00,234256,6755,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-06-01 00:00:00,195532,6756,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-05-01 00:00:00,128109,6757,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-04-01 00:00:00,106538,6758,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-03-01 00:00:00,80938,6759,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-02-01 00:00:00,59527,6760,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2019-01-01 00:00:00,38783,6761,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-12-01 00:00:00,42212,6762,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-11-01 00:00:00,46491,6763,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-10-01 00:00:00,66503,6764,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-09-01 00:00:00,131278,6765,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-08-01 00:00:00,212170,6766,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-07-01 00:00:00,183540,6767,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-06-01 00:00:00,152103,6768,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-05-01 00:00:00,90987,6769,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-04-01 00:00:00,83625,6770,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-03-01 00:00:00,65238,6771,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-02-01 00:00:00,47938,6772,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2019-01-01 00:00:00,28943,6773,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-12-01 00:00:00,10164,6774,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-11-01 00:00:00,14050,6775,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-10-01 00:00:00,30542,6776,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-09-01 00:00:00,44213,6777,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-08-01 00:00:00,51605,6778,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-07-01 00:00:00,50716,6779,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-06-01 00:00:00,43429,6780,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-05-01 00:00:00,37121,6781,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-04-01 00:00:00,22913,6782,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-03-01 00:00:00,15701,6783,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-02-01 00:00:00,11589,6784,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2019-01-01 00:00:00,9840,6785,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-12-01 00:00:00,48923,8550,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-11-01 00:00:00,60133,8551,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-10-01 00:00:00,112690,8552,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-09-01 00:00:00,187207,8553,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-08-01 00:00:00,263093,8554,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-07-01 00:00:00,221138,8555,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-06-01 00:00:00,183840,8556,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-05-01 00:00:00,125191,8557,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-04-01 00:00:00,104833,8558,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-03-01 00:00:00,88773,8559,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-02-01 00:00:00,59124,8560,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2018-01-01 00:00:00,37941,8561,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-12-01 00:00:00,40198,8562,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-11-01 00:00:00,47744,8563,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-10-01 00:00:00,78403,8564,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-09-01 00:00:00,139448,8565,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-08-01 00:00:00,205644,8566,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-07-01 00:00:00,172091,8567,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-06-01 00:00:00,139785,8568,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-05-01 00:00:00,85566,8569,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-04-01 00:00:00,81800,8570,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-03-01 00:00:00,71626,8571,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-02-01 00:00:00,46952,8572,190013,36.83892362,-2.46413188,3
