Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-01-01,150043
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-09-01,339352
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-08-01,323239
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-07-01,297225
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-06-01,325198
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-05-01,354115
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-04-01,338982
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-03-01,320153
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-02-01,271807
Total Nacional,Andalucia,Sevilla,Viajero,General,2023-01-01,248607
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-09-01,153219
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-08-01,138355
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-07-01,144566
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-06-01,162713
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-05-01,168808
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-04-01,156485
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-03-01,170786
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-02-01,154954
Total Nacional,Andalucia,Sevilla,Viajero,Espana,2023-01-01,138600
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-09-01,186133
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-08-01,184884
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-07-01,152659
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-06-01,162485
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-05-01,185308
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-04-01,182498
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-03-01,149367
