Totales_Territoriales,Comunidades_Ciudades_Autonomas,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,ID_pernoctaciones,ID_total
Total Nacional,Comunidad valencia,Viajero,Espana,2019-04-01,463413,6140,6140,6140
Total Nacional,Comunidad valencia,Viajero,Espana,2019-03-01,434002,6141,6141,6141
Total Nacional,Comunidad valencia,Viajero,Espana,2019-02-01,345367,6142,6142,6142
Total Nacional,Comunidad valencia,Viajero,Espana,2019-01-01,277707,6143,6143,6143
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-12-01,201863,6144,6144,6144
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-11-01,266983,6145,6145,6145
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-10-01,363309,6146,6146,6146
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-09-01,392044,6147,6147,6147
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-08-01,399839,6148,6148,6148
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-07-01,387411,6149,6149,6149
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-06-01,363828,6150,6150,6150
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-05-01,372194,6151,6151,6151
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-04-01,339874,6152,6152,6152
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-03-01,278272,6153,6153,6153
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-02-01,220135,6154,6154,6154
Total Nacional,Comunidad valencia,Viajero,Extranjero,2019-01-01,200449,6155,6155,6155
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-12-01,1480388,6156,6156,6156
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-11-01,1887816,6157,6157,6157
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-10-01,2497353,6158,6158,6158
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-09-01,2985150,6159,6159,6159
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-08-01,4034462,6160,6160,6160
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-07-01,3645834,6161,6161,6161
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-06-01,2994494,6162,6162,6162
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-05-01,2573788,6163,6163,6163
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-04-01,2502992,6164,6164,6164
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-03-01,2168762,6165,6165,6165
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-02-01,1590509,6166,6166,6166
Total Nacional,Comunidad valencia,Pernoctaciones,General,2019-01-01,1427990,6167,6167,6167
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-12-01,785055,6168,6168,6168
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-11-01,951138,6169,6169,6169
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-10-01,1096940,6170,6170,6170
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-09-01,1535854,6171,6171,6171
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-08-01,2570301,6172,6172,6172
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-07-01,2235222,6173,6173,6173
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-06-01,1684079,6174,6174,6174
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-05-01,1291722,6175,6175,6175
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-04-01,1346924,6176,6176,6176
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-03-01,1166465,6177,6177,6177
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-02-01,836184,6178,6178,6178
Total Nacional,Comunidad valencia,Pernoctaciones,Espana,2019-01-01,704581,6179,6179,6179
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-12-01,695332,6180,6180,6180
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-11-01,936678,6181,6181,6181
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-10-01,1400413,6182,6182,6182
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-09-01,1449296,6183,6183,6183
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-08-01,1464160,6184,6184,6184
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-07-01,1410611,6185,6185,6185
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-06-01,1310415,6186,6186,6186
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-05-01,1282066,6187,6187,6187
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-04-01,1156068,6188,6188,6188
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-03-01,1002297,6189,6189,6189
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-02-01,754324,6190,6190,6190
Total Nacional,Comunidad valencia,Pernoctaciones,Extranjero,2019-01-01,723409,6191,6191,6191
Total Nacional,Extremadura,Viajero,General,2019-12-01,89608,6192,6192,6192
Total Nacional,Extremadura,Viajero,General,2019-11-01,106139,6193,6193,6193
Total Nacional,Extremadura,Viajero,General,2019-10-01,133295,6194,6194,6194
Total Nacional,Extremadura,Viajero,General,2019-09-01,135069,6195,6195,6195
Total Nacional,Extremadura,Viajero,General,2019-08-01,173384,6196,6196,6196
Total Nacional,Extremadura,Viajero,General,2019-07-01,142010,6197,6197,6197
Total Nacional,Extremadura,Viajero,General,2019-06-01,126925,6198,6198,6198
Total Nacional,Extremadura,Viajero,General,2019-05-01,138748,6199,6199,6199
Total Nacional,Extremadura,Viajero,General,2019-04-01,144317,6200,6200,6200
Total Nacional,Extremadura,Viajero,General,2019-03-01,122319,6201,6201,6201
Total Nacional,Extremadura,Viajero,General,2019-02-01,85064,6202,6202,6202
Total Nacional,Extremadura,Viajero,General,2019-01-01,74169,6203,6203,6203
Total Nacional,Extremadura,Viajero,Espana,2019-12-01,74758,6204,6204,6204
Total Nacional,Extremadura,Viajero,Espana,2019-11-01,85039,6205,6205,6205
Total Nacional,Extremadura,Viajero,Espana,2019-10-01,104374,6206,6206,6206
Total Nacional,Extremadura,Viajero,Espana,2019-09-01,106638,6207,6207,6207
Total Nacional,Extremadura,Viajero,Espana,2019-08-01,141486,6208,6208,6208
Total Nacional,Extremadura,Viajero,Espana,2019-07-01,114464,6209,6209,6209
Total Nacional,Extremadura,Viajero,Espana,2019-06-01,102087,6210,6210,6210
Total Nacional,Extremadura,Viajero,Espana,2019-05-01,106105,6211,6211,6211
Total Nacional,Extremadura,Viajero,Espana,2019-04-01,116641,6212,6212,6212
Total Nacional,Extremadura,Viajero,Espana,2019-03-01,100738,6213,6213,6213
Total Nacional,Extremadura,Viajero,Espana,2019-02-01,71447,6214,6214,6214
Total Nacional,Extremadura,Viajero,Espana,2019-01-01,61248,6215,6215,6215
Total Nacional,Extremadura,Viajero,Extranjero,2019-12-01,14849,6216,6216,6216
Total Nacional,Extremadura,Viajero,Extranjero,2019-11-01,21100,6217,6217,6217
Total Nacional,Extremadura,Viajero,Extranjero,2019-10-01,28921,6218,6218,6218
Total Nacional,Extremadura,Viajero,Extranjero,2019-09-01,28431,6219,6219,6219
Total Nacional,Extremadura,Viajero,Extranjero,2019-08-01,31898,6220,6220,6220
Total Nacional,Extremadura,Viajero,Extranjero,2019-07-01,27546,6221,6221,6221
Total Nacional,Extremadura,Viajero,Extranjero,2019-06-01,24838,6222,6222,6222
Total Nacional,Extremadura,Viajero,Extranjero,2019-05-01,32643,6223,6223,6223
Total Nacional,Extremadura,Viajero,Extranjero,2019-04-01,27676,6224,6224,6224
Total Nacional,Extremadura,Viajero,Extranjero,2019-03-01,21581,6225,6225,6225
Total Nacional,Extremadura,Viajero,Extranjero,2019-02-01,13616,6226,6226,6226
Total Nacional,Extremadura,Viajero,Extranjero,2019-01-01,12921,6227,6227,6227
Total Nacional,Extremadura,Pernoctaciones,General,2019-12-01,154386,6228,6228,6228
Total Nacional,Extremadura,Pernoctaciones,General,2019-11-01,186239,6229,6229,6229
Total Nacional,Extremadura,Pernoctaciones,General,2019-10-01,242930,6230,6230,6230
Total Nacional,Extremadura,Pernoctaciones,General,2019-09-01,243173,6231,6231,6231
Total Nacional,Extremadura,Pernoctaciones,General,2019-08-01,279420,6232,6232,6232
Total Nacional,Extremadura,Pernoctaciones,General,2019-07-01,227120,6233,6233,6233
Total Nacional,Extremadura,Pernoctaciones,General,2019-06-01,219164,6234,6234,6234
Total Nacional,Extremadura,Pernoctaciones,General,2019-05-01,242713,6235,6235,6235
Total Nacional,Extremadura,Pernoctaciones,General,2019-04-01,253433,6236,6236,6236
Total Nacional,Extremadura,Pernoctaciones,General,2019-03-01,213048,6237,6237,6237
Total Nacional,Extremadura,Pernoctaciones,General,2019-02-01,139404,6238,6238,6238
Total Nacional,Extremadura,Pernoctaciones,General,2019-01-01,119805,6239,6239,6239
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-12-01,131998,6240,6240,6240
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-11-01,156965,6241,6241,6241
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-10-01,198883,6242,6242,6242
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-09-01,200693,6243,6243,6243
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-08-01,236383,6244,6244,6244
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-07-01,189814,6245,6245,6245
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-06-01,181983,6246,6246,6246
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-05-01,193017,6247,6247,6247
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-04-01,211211,6248,6248,6248
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-03-01,180992,6249,6249,6249
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-02-01,119063,6250,6250,6250
Total Nacional,Extremadura,Pernoctaciones,Espana,2019-01-01,102126,6251,6251,6251
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-12-01,22389,6252,6252,6252
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-11-01,29274,6253,6253,6253
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-10-01,44047,6254,6254,6254
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-09-01,42480,6255,6255,6255
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-08-01,43037,6256,6256,6256
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-07-01,37306,6257,6257,6257
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-06-01,37181,6258,6258,6258
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-05-01,49695,6259,6259,6259
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-04-01,42223,6260,6260,6260
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-03-01,32056,6261,6261,6261
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-02-01,20340,6262,6262,6262
Total Nacional,Extremadura,Pernoctaciones,Extranjero,2019-01-01,17679,6263,6263,6263
Total Nacional,Galicia,Viajero,General,2019-12-01,239907,6264,6264,6264
Total Nacional,Galicia,Viajero,General,2019-11-01,241546,6265,6265,6265
Total Nacional,Galicia,Viajero,General,2019-10-01,414582,6266,6266,6266
Total Nacional,Galicia,Viajero,General,2019-09-01,528165,6267,6267,6267
Total Nacional,Galicia,Viajero,General,2019-08-01,660807,6268,6268,6268
Total Nacional,Galicia,Viajero,General,2019-07-01,538734,6269,6269,6269
Total Nacional,Galicia,Viajero,General,2019-06-01,458837,6270,6270,6270
Total Nacional,Galicia,Viajero,General,2019-05-01,425307,6271,6271,6271
Total Nacional,Galicia,Viajero,General,2019-04-01,361936,6272,6272,6272
Total Nacional,Galicia,Viajero,General,2019-03-01,236030,6273,6273,6273
Total Nacional,Galicia,Viajero,General,2019-02-01,182276,6274,6274,6274
Total Nacional,Galicia,Viajero,General,2019-01-01,165838,6275,6275,6275
Total Nacional,Galicia,Viajero,Espana,2019-12-01,207211,6276,6276,6276
Total Nacional,Galicia,Viajero,Espana,2019-11-01,197689,6277,6277,6277
Total Nacional,Galicia,Viajero,Espana,2019-10-01,273113,6278,6278,6278
Total Nacional,Galicia,Viajero,Espana,2019-09-01,330300,6279,6279,6279
Total Nacional,Galicia,Viajero,Espana,2019-08-01,504005,6280,6280,6280
Total Nacional,Galicia,Viajero,Espana,2019-07-01,404302,6281,6281,6281
Total Nacional,Galicia,Viajero,Espana,2019-06-01,290639,6282,6282,6282
Total Nacional,Galicia,Viajero,Espana,2019-05-01,257141,6283,6283,6283
Total Nacional,Galicia,Viajero,Espana,2019-04-01,250716,6284,6284,6284
Total Nacional,Galicia,Viajero,Espana,2019-03-01,189698,6285,6285,6285
Total Nacional,Galicia,Viajero,Espana,2019-02-01,155544,6286,6286,6286
Total Nacional,Galicia,Viajero,Espana,2019-01-01,139771,6287,6287,6287
Total Nacional,Galicia,Viajero,Extranjero,2019-12-01,32696,6288,6288,6288
Total Nacional,Galicia,Viajero,Extranjero,2019-11-01,43857,6289,6289,6289
Total Nacional,Galicia,Viajero,Extranjero,2019-10-01,141469,6290,6290,6290
Total Nacional,Galicia,Viajero,Extranjero,2019-09-01,197865,6291,6291,6291
Total Nacional,Galicia,Viajero,Extranjero,2019-08-01,156802,6292,6292,6292
Total Nacional,Galicia,Viajero,Extranjero,2019-07-01,134432,6293,6293,6293
Total Nacional,Galicia,Viajero,Extranjero,2019-06-01,168198,6294,6294,6294
Total Nacional,Galicia,Viajero,Extranjero,2019-05-01,168166,6295,6295,6295
Total Nacional,Galicia,Viajero,Extranjero,2019-04-01,111219,6296,6296,6296
Total Nacional,Galicia,Viajero,Extranjero,2019-03-01,46332,6297,6297,6297
Total Nacional,Galicia,Viajero,Extranjero,2019-02-01,26732,6298,6298,6298
Total Nacional,Galicia,Viajero,Extranjero,2019-01-01,26066,6299,6299,6299
Total Nacional,Galicia,Pernoctaciones,General,2019-12-01,460726,6300,6300,6300
Total Nacional,Galicia,Pernoctaciones,General,2019-11-01,500430,6301,6301,6301
Total Nacional,Galicia,Pernoctaciones,General,2019-10-01,790547,6302,6302,6302
Total Nacional,Galicia,Pernoctaciones,General,2019-09-01,1035296,6303,6303,6303
Total Nacional,Galicia,Pernoctaciones,General,2019-08-01,1561584,6304,6304,6304
Total Nacional,Galicia,Pernoctaciones,General,2019-07-01,1218281,6305,6305,6305
Total Nacional,Galicia,Pernoctaciones,General,2019-06-01,869655,6306,6306,6306
Total Nacional,Galicia,Pernoctaciones,General,2019-05-01,765901,6307,6307,6307
Total Nacional,Galicia,Pernoctaciones,General,2019-04-01,685300,6308,6308,6308
Total Nacional,Galicia,Pernoctaciones,General,2019-03-01,459639,6309,6309,6309
Total Nacional,Galicia,Pernoctaciones,General,2019-02-01,336183,6310,6310,6310
Total Nacional,Galicia,Pernoctaciones,General,2019-01-01,310111,6311,6311,6311
Total Nacional,Galicia,Pernoctaciones,Espana,2019-12-01,392872,6312,6312,6312
Total Nacional,Galicia,Pernoctaciones,Espana,2019-11-01,412580,6313,6313,6313
Total Nacional,Galicia,Pernoctaciones,Espana,2019-10-01,558569,6314,6314,6314
Total Nacional,Galicia,Pernoctaciones,Espana,2019-09-01,711609,6315,6315,6315
Total Nacional,Galicia,Pernoctaciones,Espana,2019-08-01,1269972,6316,6316,6316
Total Nacional,Galicia,Pernoctaciones,Espana,2019-07-01,963299,6317,6317,6317
Total Nacional,Galicia,Pernoctaciones,Espana,2019-06-01,591155,6318,6318,6318
Total Nacional,Galicia,Pernoctaciones,Espana,2019-05-01,506098,6319,6319,6319
Total Nacional,Galicia,Pernoctaciones,Espana,2019-04-01,494636,6320,6320,6320
Total Nacional,Galicia,Pernoctaciones,Espana,2019-03-01,364653,6321,6321,6321
Total Nacional,Galicia,Pernoctaciones,Espana,2019-02-01,281245,6322,6322,6322
Total Nacional,Galicia,Pernoctaciones,Espana,2019-01-01,252961,6323,6323,6323
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-12-01,67854,6324,6324,6324
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-11-01,87851,6325,6325,6325
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-10-01,231977,6326,6326,6326
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-09-01,323687,6327,6327,6327
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-08-01,291613,6328,6328,6328
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-07-01,254982,6329,6329,6329
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-06-01,278500,6330,6330,6330
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-05-01,259803,6331,6331,6331
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-04-01,190664,6332,6332,6332
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-03-01,94986,6333,6333,6333
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-02-01,54938,6334,6334,6334
Total Nacional,Galicia,Pernoctaciones,Extranjero,2019-01-01,57149,6335,6335,6335
Total Nacional,Comunidad de madrid,Viajero,General,2019-12-01,981552,6336,6336,6336
Total Nacional,Comunidad de madrid,Viajero,General,2019-11-01,1058042,6337,6337,6337
Total Nacional,Comunidad de madrid,Viajero,General,2019-10-01,1175876,6338,6338,6338
Total Nacional,Comunidad de madrid,Viajero,General,2019-09-01,1079479,6339,6339,6339
Total Nacional,Comunidad de madrid,Viajero,General,2019-08-01,985547,6340,6340,6340
Total Nacional,Comunidad de madrid,Viajero,General,2019-07-01,1117908,6341,6341,6341
Total Nacional,Comunidad de madrid,Viajero,General,2019-06-01,1172410,6342,6342,6342
Total Nacional,Comunidad de madrid,Viajero,General,2019-05-01,1172955,6343,6343,6343
Total Nacional,Comunidad de madrid,Viajero,General,2019-04-01,1065508,6344,6344,6344
Total Nacional,Comunidad de madrid,Viajero,General,2019-03-01,1079289,6345,6345,6345
Total Nacional,Comunidad de madrid,Viajero,General,2019-02-01,922651,6346,6346,6346
Total Nacional,Comunidad de madrid,Viajero,General,2019-01-01,873095,6347,6347,6347
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-12-01,569533,6348,6348,6348
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-11-01,561920,6349,6349,6349
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-10-01,564969,6350,6350,6350
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-09-01,504841,6351,6351,6351
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-08-01,470435,6352,6352,6352
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-07-01,528508,6353,6353,6353
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-06-01,577243,6354,6354,6354
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-05-01,568723,6355,6355,6355
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-04-01,544970,6356,6356,6356
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-03-01,579601,6357,6357,6357
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-02-01,528779,6358,6358,6358
Total Nacional,Comunidad de madrid,Viajero,Espana,2019-01-01,504310,6359,6359,6359
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-12-01,412019,6360,6360,6360
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-11-01,496122,6361,6361,6361
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-10-01,610908,6362,6362,6362
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-09-01,574638,6363,6363,6363
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-08-01,515112,6364,6364,6364
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-07-01,589400,6365,6365,6365
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-06-01,595166,6366,6366,6366
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-05-01,604232,6367,6367,6367
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-04-01,520538,6368,6368,6368
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-03-01,499689,6369,6369,6369
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-02-01,393872,6370,6370,6370
Total Nacional,Comunidad de madrid,Viajero,Extranjero,2019-01-01,368785,6371,6371,6371
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-12-01,2015192,6372,6372,6372
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-11-01,2135453,6373,6373,6373
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-10-01,2360610,6374,6374,6374
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-09-01,2271724,6375,6375,6375
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-08-01,2023616,6376,6376,6376
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-07-01,2274448,6377,6377,6377
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-06-01,2325474,6378,6378,6378
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-05-01,2347283,6379,6379,6379
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-04-01,2192962,6380,6380,6380
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-03-01,2176778,6381,6381,6381
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-02-01,1762240,6382,6382,6382
Total Nacional,Comunidad de madrid,Pernoctaciones,General,2019-01-01,1769846,6383,6383,6383
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-12-01,1003989,6384,6384,6384
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-11-01,985092,6385,6385,6385
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-10-01,943801,6386,6386,6386
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-09-01,896359,6387,6387,6387
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-08-01,833852,6388,6388,6388
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-07-01,907375,6389,6389,6389
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-06-01,959259,6390,6390,6390
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-05-01,962658,6391,6391,6391
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-04-01,949015,6392,6392,6392
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-03-01,979040,6393,6393,6393
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-02-01,880621,6394,6394,6394
Total Nacional,Comunidad de madrid,Pernoctaciones,Espana,2019-01-01,881136,6395,6395,6395
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-12-01,1011203,6396,6396,6396
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-11-01,1150362,6397,6397,6397
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-10-01,1416809,6398,6398,6398
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-09-01,1375365,6399,6399,6399
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-08-01,1189764,6400,6400,6400
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-07-01,1367073,6401,6401,6401
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-06-01,1366216,6402,6402,6402
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-05-01,1384625,6403,6403,6403
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-04-01,1243947,6404,6404,6404
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-03-01,1197738,6405,6405,6405
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-02-01,881619,6406,6406,6406
Total Nacional,Comunidad de madrid,Pernoctaciones,Extranjero,2019-01-01,888710,6407,6407,6407
Total Nacional,Region de murcia,Viajero,General,2019-12-01,87676,6408,6408,6408
Total Nacional,Region de murcia,Viajero,General,2019-11-01,93141,6409,6409,6409
Total Nacional,Region de murcia,Viajero,General,2019-10-01,114971,6410,6410,6410
Total Nacional,Region de murcia,Viajero,General,2019-09-01,121121,6411,6411,6411
Total Nacional,Region de murcia,Viajero,General,2019-08-01,148278,6412,6412,6412
Total Nacional,Region de murcia,Viajero,General,2019-07-01,135485,6413,6413,6413
Total Nacional,Region de murcia,Viajero,General,2019-06-01,138530,6414,6414,6414
Total Nacional,Region de murcia,Viajero,General,2019-05-01,128848,6415,6415,6415
Total Nacional,Region de murcia,Viajero,General,2019-04-01,116788,6416,6416,6416
Total Nacional,Region de murcia,Viajero,General,2019-03-01,106771,6417,6417,6417
Total Nacional,Region de murcia,Viajero,General,2019-02-01,90428,6418,6418,6418
Total Nacional,Region de murcia,Viajero,General,2019-01-01,74905,6419,6419,6419
Total Nacional,Region de murcia,Viajero,Espana,2019-12-01,72428,6420,6420,6420
Total Nacional,Region de murcia,Viajero,Espana,2019-11-01,74430,6421,6421,6421
Total Nacional,Region de murcia,Viajero,Espana,2019-10-01,89015,6422,6422,6422
Total Nacional,Region de murcia,Viajero,Espana,2019-09-01,88808,6423,6423,6423
Total Nacional,Region de murcia,Viajero,Espana,2019-08-01,111832,6424,6424,6424
Total Nacional,Region de murcia,Viajero,Espana,2019-07-01,103567,6425,6425,6425
Total Nacional,Region de murcia,Viajero,Espana,2019-06-01,108029,6426,6426,6426
Total Nacional,Region de murcia,Viajero,Espana,2019-05-01,99257,6427,6427,6427
Total Nacional,Region de murcia,Viajero,Espana,2019-04-01,89782,6428,6428,6428
Total Nacional,Region de murcia,Viajero,Espana,2019-03-01,85874,6429,6429,6429
Total Nacional,Region de murcia,Viajero,Espana,2019-02-01,72584,6430,6430,6430
Total Nacional,Region de murcia,Viajero,Espana,2019-01-01,57170,6431,6431,6431
Total Nacional,Region de murcia,Viajero,Extranjero,2019-12-01,15248,6432,6432,6432
Total Nacional,Region de murcia,Viajero,Extranjero,2019-11-01,18711,6433,6433,6433
Total Nacional,Region de murcia,Viajero,Extranjero,2019-10-01,25955,6434,6434,6434
Total Nacional,Region de murcia,Viajero,Extranjero,2019-09-01,32313,6435,6435,6435
Total Nacional,Region de murcia,Viajero,Extranjero,2019-08-01,36446,6436,6436,6436
Total Nacional,Region de murcia,Viajero,Extranjero,2019-07-01,31918,6437,6437,6437
Total Nacional,Region de murcia,Viajero,Extranjero,2019-06-01,30501,6438,6438,6438
Total Nacional,Region de murcia,Viajero,Extranjero,2019-05-01,29592,6439,6439,6439
Total Nacional,Region de murcia,Viajero,Extranjero,2019-04-01,27006,6440,6440,6440
Total Nacional,Region de murcia,Viajero,Extranjero,2019-03-01,20897,6441,6441,6441
Total Nacional,Region de murcia,Viajero,Extranjero,2019-02-01,17844,6442,6442,6442
Total Nacional,Region de murcia,Viajero,Extranjero,2019-01-01,17735,6443,6443,6443
Total Nacional,Region de murcia,Pernoctaciones,General,2019-12-01,153891,6444,6444,6444
Total Nacional,Region de murcia,Pernoctaciones,General,2019-11-01,185152,6445,6445,6445
Total Nacional,Region de murcia,Pernoctaciones,General,2019-10-01,257241,6446,6446,6446
Total Nacional,Region de murcia,Pernoctaciones,General,2019-09-01,329200,6447,6447,6447
Total Nacional,Region de murcia,Pernoctaciones,General,2019-08-01,431975,6448,6448,6448
Total Nacional,Region de murcia,Pernoctaciones,General,2019-07-01,367926,6449,6449,6449
Total Nacional,Region de murcia,Pernoctaciones,General,2019-06-01,323546,6450,6450,6450
Total Nacional,Region de murcia,Pernoctaciones,General,2019-05-01,316843,6451,6451,6451
