Totales_Territoriales,Comunidades_Ciudades_Autonomas,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,ID_pernoctaciones,ID_total
Total Nacional,Aragon,Pernoctaciones,General,2023-05-01,408001,139,139,139
Total Nacional,Aragon,Pernoctaciones,General,2023-04-01,493257,140,140,140
Total Nacional,Aragon,Pernoctaciones,General,2023-03-01,445654,141,141,141
Total Nacional,Aragon,Pernoctaciones,General,2023-02-01,427656,142,142,142
Total Nacional,Aragon,Pernoctaciones,General,2023-01-01,347463,143,143,143
Total Nacional,Aragon,Pernoctaciones,Espana,2023-09-01,391685,144,144,144
Total Nacional,Aragon,Pernoctaciones,Espana,2023-08-01,558158,145,145,145
Total Nacional,Aragon,Pernoctaciones,Espana,2023-07-01,446908,146,146,146
Total Nacional,Aragon,Pernoctaciones,Espana,2023-06-01,351435,147,147,147
Total Nacional,Aragon,Pernoctaciones,Espana,2023-05-01,292878,148,148,148
Total Nacional,Aragon,Pernoctaciones,Espana,2023-04-01,405351,149,149,149
Total Nacional,Aragon,Pernoctaciones,Espana,2023-03-01,370475,150,150,150
Total Nacional,Aragon,Pernoctaciones,Espana,2023-02-01,358918,151,151,151
Total Nacional,Aragon,Pernoctaciones,Espana,2023-01-01,294189,152,152,152
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-09-01,116570,153,153,153
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-08-01,144648,154,154,154
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-07-01,133772,155,155,155
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-06-01,108468,156,156,156
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-05-01,115123,157,157,157
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-04-01,87906,158,158,158
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-03-01,75179,159,159,159
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-02-01,68738,160,160,160
Total Nacional,Aragon,Pernoctaciones,Extranjero,2023-01-01,53275,161,161,161
Total Nacional,Principado de asturias,Viajero,General,2023-09-01,235417,162,162,162
Total Nacional,Principado de asturias,Viajero,General,2023-08-01,272339,163,163,163
Total Nacional,Principado de asturias,Viajero,General,2023-07-01,257441,164,164,164
Total Nacional,Principado de asturias,Viajero,General,2023-06-01,203376,165,165,165
Total Nacional,Principado de asturias,Viajero,General,2023-05-01,166139,166,166,166
Total Nacional,Principado de asturias,Viajero,General,2023-04-01,173845,167,167,167
Total Nacional,Principado de asturias,Viajero,General,2023-03-01,104269,168,168,168
Total Nacional,Principado de asturias,Viajero,General,2023-02-01,81532,169,169,169
Total Nacional,Principado de asturias,Viajero,General,2023-01-01,68408,170,170,170
Total Nacional,Principado de asturias,Viajero,Espana,2023-09-01,175237,171,171,171
Total Nacional,Principado de asturias,Viajero,Espana,2023-08-01,219591,172,172,172
Total Nacional,Principado de asturias,Viajero,Espana,2023-07-01,207280,173,173,173
Total Nacional,Principado de asturias,Viajero,Espana,2023-06-01,150489,174,174,174
Total Nacional,Principado de asturias,Viajero,Espana,2023-05-01,117304,175,175,175
Total Nacional,Principado de asturias,Viajero,Espana,2023-04-01,145263,176,176,176
Total Nacional,Principado de asturias,Viajero,Espana,2023-03-01,91149,177,177,177
Total Nacional,Principado de asturias,Viajero,Espana,2023-02-01,72532,178,178,178
Total Nacional,Principado de asturias,Viajero,Espana,2023-01-01,61035,179,179,179
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-09-01,60180,180,180,180
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-08-01,52748,181,181,181
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-07-01,50161,182,182,182
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-06-01,52887,183,183,183
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-05-01,48836,184,184,184
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-04-01,28581,185,185,185
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-03-01,13120,186,186,186
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-02-01,9000,187,187,187
Total Nacional,Principado de asturias,Viajero,Extranjero,2023-01-01,7373,188,188,188
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-09-01,471324,189,189,189
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-08-01,673183,190,190,190
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-07-01,578794,191,191,191
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-06-01,399819,192,192,192
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-05-01,306803,193,193,193
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-04-01,348636,194,194,194
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-03-01,202782,195,195,195
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-02-01,151671,196,196,196
Total Nacional,Principado de asturias,Pernoctaciones,General,2023-01-01,130417,197,197,197
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-09-01,362333,198,198,198
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-08-01,566540,199,199,199
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-07-01,482604,200,200,200
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-06-01,302059,201,201,201
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-05-01,222052,202,202,202
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-04-01,295511,203,203,203
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-03-01,168202,204,204,204
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-02-01,129073,205,205,205
Total Nacional,Principado de asturias,Pernoctaciones,Espana,2023-01-01,110246,206,206,206
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-09-01,108991,207,207,207
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-08-01,106643,208,208,208
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-07-01,96189,209,209,209
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-06-01,97760,210,210,210
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-05-01,84751,211,211,211
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-04-01,53125,212,212,212
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-03-01,34581,213,213,213
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-02-01,22598,214,214,214
Total Nacional,Principado de asturias,Pernoctaciones,Extranjero,2023-01-01,20171,215,215,215
Total Nacional,Islas baleares,Viajero,General,2023-09-01,1677754,216,216,216
Total Nacional,Islas baleares,Viajero,General,2023-08-01,1940485,217,217,217
Total Nacional,Islas baleares,Viajero,General,2023-07-01,1947381,218,218,218
Total Nacional,Islas baleares,Viajero,General,2023-06-01,1858620,219,219,219
Total Nacional,Islas baleares,Viajero,General,2023-05-01,1507859,220,220,220
Total Nacional,Islas baleares,Viajero,General,2023-04-01,776864,221,221,221
Total Nacional,Islas baleares,Viajero,General,2023-03-01,233738,222,222,222
Total Nacional,Islas baleares,Viajero,General,2023-02-01,128873,223,223,223
Total Nacional,Islas baleares,Viajero,General,2023-01-01,75556,224,224,224
Total Nacional,Islas baleares,Viajero,Espana,2023-09-01,175619,225,225,225
Total Nacional,Islas baleares,Viajero,Espana,2023-08-01,242454,226,226,226
Total Nacional,Islas baleares,Viajero,Espana,2023-07-01,240051,227,227,227
Total Nacional,Islas baleares,Viajero,Espana,2023-06-01,262062,228,228,228
Total Nacional,Islas baleares,Viajero,Espana,2023-05-01,187397,229,229,229
Total Nacional,Islas baleares,Viajero,Espana,2023-04-01,110748,230,230,230
Total Nacional,Islas baleares,Viajero,Espana,2023-03-01,62997,231,231,231
Total Nacional,Islas baleares,Viajero,Espana,2023-02-01,47551,232,232,232
Total Nacional,Islas baleares,Viajero,Espana,2023-01-01,35211,233,233,233
Total Nacional,Islas baleares,Viajero,Extranjero,2023-09-01,1502135,234,234,234
Total Nacional,Islas baleares,Viajero,Extranjero,2023-08-01,1698031,235,235,235
Total Nacional,Islas baleares,Viajero,Extranjero,2023-07-01,1707329,236,236,236
Total Nacional,Islas baleares,Viajero,Extranjero,2023-06-01,1596559,237,237,237
Total Nacional,Islas baleares,Viajero,Extranjero,2023-05-01,1320461,238,238,238
Total Nacional,Islas baleares,Viajero,Extranjero,2023-04-01,666116,239,239,239
Total Nacional,Islas baleares,Viajero,Extranjero,2023-03-01,170740,240,240,240
Total Nacional,Islas baleares,Viajero,Extranjero,2023-02-01,81322,241,241,241
Total Nacional,Islas baleares,Viajero,Extranjero,2023-01-01,40344,242,242,242
Total Nacional,Islas baleares,Pernoctaciones,General,2023-09-01,9100655,243,243,243
Total Nacional,Islas baleares,Pernoctaciones,General,2023-08-01,11045064,244,244,244
Total Nacional,Islas baleares,Pernoctaciones,General,2023-07-01,10566115,245,245,245
Total Nacional,Islas baleares,Pernoctaciones,General,2023-06-01,9098561,246,246,246
Total Nacional,Islas baleares,Pernoctaciones,General,2023-05-01,7395731,247,247,247
Total Nacional,Islas baleares,Pernoctaciones,General,2023-04-01,3419094,248,248,248
Total Nacional,Islas baleares,Pernoctaciones,General,2023-03-01,966435,249,249,249
Total Nacional,Islas baleares,Pernoctaciones,General,2023-02-01,476678,250,250,250
Total Nacional,Islas baleares,Pernoctaciones,General,2023-01-01,238404,251,251,251
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-09-01,654444,252,252,252
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-08-01,1076948,253,253,253
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-07-01,983814,254,254,254
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-06-01,906912,255,255,255
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-05-01,596556,256,256,256
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-04-01,295818,257,257,257
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-03-01,177529,258,258,258
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-02-01,102698,259,259,259
Total Nacional,Islas baleares,Pernoctaciones,Espana,2023-01-01,86019,260,260,260
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-09-01,8446210,261,261,261
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-08-01,9968116,262,262,262
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-07-01,9582302,263,263,263
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-06-01,8191649,264,264,264
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-05-01,6799175,265,265,265
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-04-01,3123276,266,266,266
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-03-01,788906,267,267,267
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-02-01,373980,268,268,268
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2023-01-01,152385,269,269,269
Total Nacional,Canarias,Viajero,General,2023-09-01,871238,270,270,270
