Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-08-31,1317094,9766
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-07-31,1291037,9767
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-06-30,1030802,9768
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-05-31,752524,9769
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-04-30,295936,9770
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-03-31,49449,9771
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-02-28,27995,9772
Total Nacional,Cataluna,Tarragona,Pernoctaciones,Extranjero,2018-01-31,20781,9773
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-12-31,1017597,9774
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-11-30,1204036,9775
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-10-31,1643115,9776
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-09-30,1813063,9777
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-08-31,2252490,9778
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-07-31,2066026,9779
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-06-30,1729424,9780
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-05-31,1584378,9781
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-04-30,1504976,9782
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-03-31,1334398,9783
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-02-28,928174,9784
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,General,2018-01-31,902748,9785
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-12-31,521622,9786
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-11-30,530713,9787
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-10-31,613612,9788
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-09-30,710347,9789
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-08-31,1239986,9790
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-07-31,1036052,9791
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-06-30,741725,9792
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-05-31,571945,9793
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-04-30,681438,9794
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-03-31,640818,9795
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-02-28,429796,9796
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Espana,2018-01-31,412427,9797
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-12-31,495975,9798
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-11-30,673322,9799
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-10-31,1029503,9800
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-09-30,1102716,9801
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-08-31,1012504,9802
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-07-31,1029974,9803
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-06-30,987699,9804
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-05-31,1012433,9805
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-04-30,823538,9806
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-03-31,693579,9807
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-02-28,498378,9808
Total Nacional,Comunidad valencia,Alicante,Pernoctaciones,Extranjero,2018-01-31,490321,9809
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-12-31,102507,9810
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-11-30,146876,9811
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-10-31,283191,9812
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-09-30,497617,9813
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-08-31,698016,9814
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-07-31,606878,9815
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-06-30,440904,9816
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-05-31,298879,9817
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-04-30,288766,9818
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-03-31,248201,9819
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-02-28,132581,9820
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,General,2018-01-31,73163,9821
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-12-31,80494,9822
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-11-30,126346,9823
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-10-31,215657,9824
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-09-30,419091,9825
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-08-31,634580,9826
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-07-31,547753,9827
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-06-30,386065,9828
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-05-31,230392,9829
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-04-30,228317,9830
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-03-31,211845,9831
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-02-28,104732,9832
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Espana,2018-01-31,57171,9833
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-12-31,22013,9834
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-11-30,20529,9835
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-10-31,67534,9836
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-09-30,78526,9837
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-08-31,63436,9838
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-07-31,59125,9839
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-06-30,54839,9840
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-05-31,68487,9841
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-04-30,60448,9842
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-03-31,36356,9843
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-02-28,27849,9844
Total Nacional,Comunidad valencia,Castellon,Pernoctaciones,Extranjero,2018-01-31,15992,9845
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-12-31,435741,9846
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-11-30,520419,9847
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-10-31,628753,9848
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-09-30,765325,9849
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-08-31,965252,9850
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-07-31,885966,9851
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-06-30,752541,9852
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-05-31,666494,9853
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-04-30,679056,9854
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-03-31,629345,9855
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-02-28,459260,9856
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,General,2018-01-31,353556,9857
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-12-31,235288,9858
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-11-30,255412,9859
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-10-31,296649,9860
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-09-30,409330,9861
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-08-31,546735,9862
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-07-31,507312,9863
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-06-30,431857,9864
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-05-31,330598,9865
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-04-30,361983,9866
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-03-31,369352,9867
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-02-28,234780,9868
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Espana,2018-01-31,165283,9869
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-12-31,200453,9870
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-11-30,265007,9871
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-10-31,332104,9872
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-09-30,355995,9873
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-08-31,418517,9874
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-07-31,378654,9875
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-06-30,320684,9876
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-05-31,335896,9877
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-04-30,317074,9878
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-03-31,259993,9879
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-02-28,224480,9880
Total Nacional,Comunidad valencia,Valencia,Pernoctaciones,Extranjero,2018-01-31,188273,9881
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-12-31,76396,9882
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-11-30,98611,9883
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-10-31,125733,9884
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-09-30,119616,9885
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-08-31,138141,9886
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-07-31,119805,9887
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-06-30,111930,9888
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-05-31,117051,9889
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-04-30,116293,9890
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-03-31,102761,9891
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-02-28,68190,9892
Total Nacional,Extremadura,Badajoz,Pernoctaciones,General,2018-01-31,52132,9893
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-12-31,65772,9894
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-11-30,85049,9895
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-10-31,106676,9896
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-09-30,99984,9897
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-08-31,112286,9898
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-07-31,100236,9899
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-06-30,92999,9900
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-05-31,92978,9901
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-04-30,95733,9902
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-03-31,89048,9903
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-02-28,58446,9904
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Espana,2018-01-31,43383,9905
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-12-31,10624,9906
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-11-30,13562,9907
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-10-31,19057,9908
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-09-30,19631,9909
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-08-31,25856,9910
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-07-31,19569,9911
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-06-30,18931,9912
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-05-31,24072,9913
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-04-30,20560,9914
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-03-31,13713,9915
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-02-28,9744,9916
Total Nacional,Extremadura,Badajoz,Pernoctaciones,Extranjero,2018-01-31,8750,9917
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-12-31,74595,9918
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-11-30,96029,9919
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-10-31,121802,9920
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-09-30,113151,9921
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-08-31,144034,9922
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-07-31,107861,9923
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-06-30,105765,9924
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-05-31,119055,9925
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-04-30,127777,9926
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-03-31,100975,9927
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-02-28,69969,9928
Total Nacional,Extremadura,Caceres,Pernoctaciones,General,2018-01-31,56710,9929
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-12-31,64975,9930
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-11-30,85028,9931
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-10-31,104801,9932
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-09-30,94017,9933
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-08-31,124208,9934
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-07-31,90749,9935
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-06-30,88278,9936
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-05-31,98442,9937
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-04-30,109629,9938
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-03-31,89044,9939
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-02-28,62415,9940
Total Nacional,Extremadura,Caceres,Pernoctaciones,Espana,2018-01-31,49681,9941
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-12-31,9619,9942
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-11-30,11001,9943
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-10-31,17001,9944
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-09-30,19134,9945
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-08-31,19826,9946
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-07-31,17112,9947
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-06-30,17487,9948
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-05-31,20613,9949
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-04-30,18148,9950
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-03-31,11930,9951
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-02-28,7554,9952
Total Nacional,Extremadura,Caceres,Pernoctaciones,Extranjero,2018-01-31,7030,9953
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-12-31,177569,9954
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-11-30,225273,9955
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-10-31,314331,9956
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-09-30,376663,9957
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-08-31,553736,9958
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-07-31,453341,9959
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-06-30,330244,9960
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-05-31,311743,9961
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-04-30,254761,9962
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-03-31,205217,9963
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-02-28,150342,9964
Total Nacional,Galicia,A coruna,Pernoctaciones,General,2018-01-31,131086,9965
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-12-31,145967,9966
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-11-30,159435,9967
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-10-31,198879,9968
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-09-30,232065,9969
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-08-31,409023,9970
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-07-31,331941,9971
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-06-30,197600,9972
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-05-31,170188,9973
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-04-30,168387,9974
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-03-31,159821,9975
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-02-28,117828,9976
Total Nacional,Galicia,A coruna,Pernoctaciones,Espana,2018-01-31,101197,9977
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-12-31,31601,9978
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-11-30,65839,9979
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-10-31,115452,9980
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-09-30,144598,9981
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-08-31,144713,9982
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-07-31,121399,9983
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-06-30,132645,9984
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-05-31,141556,9985
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-04-30,86374,9986
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-03-31,45396,9987
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-02-28,32514,9988
Total Nacional,Galicia,A coruna,Pernoctaciones,Extranjero,2018-01-31,29889,9989
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-12-31,53371,9990
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-11-30,63457,9991
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-10-31,93963,9992
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-09-30,117411,9993
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-08-31,169233,9994
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-07-31,120293,9995
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-06-30,107552,9996
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-05-31,100314,9997
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-04-30,74362,9998
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-03-31,71944,9999
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-02-28,40619,10000
Total Nacional,Galicia,Lugo,Pernoctaciones,General,2018-01-31,36437,10001
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-12-31,49397,10002
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-11-30,58525,10003
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-10-31,74484,10004
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-09-30,87614,10005
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-08-31,146736,10006
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-07-31,101182,10007
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-06-30,83757,10008
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-05-31,71625,10009
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-04-30,61970,10010
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-03-31,62332,10011
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-02-28,37807,10012
Total Nacional,Galicia,Lugo,Pernoctaciones,Espana,2018-01-31,33662,10013
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-12-31,3974,10014
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-11-30,4932,10015
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-10-31,19479,10016
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-09-30,29797,10017
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-08-31,22497,10018
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-07-31,19111,10019
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-06-30,23795,10020
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-05-31,28688,10021
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-04-30,12393,10022
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-03-31,9612,10023
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-02-28,2812,10024
Total Nacional,Galicia,Lugo,Pernoctaciones,Extranjero,2018-01-31,2775,10025
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-12-31,38828,10026
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-11-30,50539,10027
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-10-31,60513,10028
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-09-30,66028,10029
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-08-31,81936,10030
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-07-31,61514,10031
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-06-30,56579,10032
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-05-31,51618,10033
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-04-30,50687,10034
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-03-31,53738,10035
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-02-28,37221,10036
Total Nacional,Galicia,Ourense,Pernoctaciones,General,2018-01-31,29057,10037
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-12-31,32621,10038
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-11-30,45313,10039
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-10-31,52690,10040
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-09-30,56772,10041
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-08-31,71544,10042
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-07-31,50914,10043
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-06-30,49677,10044
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-05-31,43418,10045
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-04-30,44786,10046
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-03-31,48992,10047
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-02-28,31679,10048
Total Nacional,Galicia,Ourense,Pernoctaciones,Espana,2018-01-31,25873,10049
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-12-31,6207,10050
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-11-30,5226,10051
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-10-31,7823,10052
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-09-30,9256,10053
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-08-31,10392,10054
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-07-31,10600,10055
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-06-30,6902,10056
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-05-31,8200,10057
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-04-30,5901,10058
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-03-31,4746,10059
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-02-28,5541,10060
Total Nacional,Galicia,Ourense,Pernoctaciones,Extranjero,2018-01-31,3184,10061
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-12-31,144477,10062
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-11-30,160766,10063
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-10-31,290816,10064
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-09-30,412049,10065
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-08-31,696054,10066
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-07-31,514263,10067
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-06-30,318817,10068
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-05-31,216829,10069
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-04-30,200568,10070
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-03-31,163283,10071
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-02-28,97830,10072
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2018-01-31,106683,10073
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2018-12-31,118677,10074
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2018-11-30,138817,10075
