Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-01-31,49027,125
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-09-30,234467,126
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-08-31,215607,127
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-07-31,182573,128
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-06-30,183263,129
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-05-31,132728,130
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-04-30,115322,131
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-03-31,31029,132
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-02-28,21683,133
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-01-31,18293,134
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-09-30,90877,135
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-08-31,101882,136
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-07-31,83664,137
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-06-30,78956,138
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-05-31,88635,139
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-04-30,111810,140
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-03-31,82364,141
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-02-28,63986,142
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-01-31,49643,143
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-09-30,77880,144
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-08-31,91518,145
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-07-31,74515,146
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-06-30,69776,147
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-05-31,74084,148
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-04-30,100168,149
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-03-31,73374,150
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-02-28,57167,151
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-01-31,44207,152
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-09-30,12997,153
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-08-31,10364,154
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-07-31,9149,155
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-06-30,9180,156
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-05-31,14551,157
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-04-30,11642,158
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-03-31,8990,159
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-02-28,6819,160
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-01-31,5436,161
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-09-30,2312615,162
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-08-31,2782987,163
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-07-31,2580880,164
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-06-30,2192655,165
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-05-31,2101341,166
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-04-30,1911674,167
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-03-31,1370903,168
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-02-28,942910,169
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-01-31,769113,170
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-09-30,511431,171
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-08-31,935815,172
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-07-31,837445,173
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-06-30,552610,174
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-05-31,396202,175
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-04-30,497586,176
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-03-31,432300,177
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-02-28,309195,178
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-01-31,233545,179
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-09-30,1801184,180
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-08-31,1847172,181
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-07-31,1743435,182
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-06-30,1640045,183
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-05-31,1705139,184
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-04-30,1414088,185
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-03-31,938602,186
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-02-28,633716,187
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-01-31,535569,188
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-09-30,670078,189
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-08-31,643645,190
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-07-31,559187,191
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-06-30,620665,192
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-05-31,695286,193
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-04-30,717959,194
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-03-31,654450,195
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-02-28,531866,196
